date,zec,ltc,eth,btc
123019800,3.969341,28.85043,553.864287,5.11328449
123019700,15.082908,187.26423,673.084351,7.19273426
123019600,0.205948,450.52607,262.700541,20.6654706
123019500,11.708509,24.84453,185.731941,6.4827422
123019400,3.423582,1.64637,253.289981,4.62027907
123019300,70.351221,23.17208,161.141567,13.5053559
123019200,179.530354,38.77568,303.058503,43.6488023
123019100,10.5988887,4.64675,181.72503,2.54139826
123019000,157.765713,273.83054,90.859534,16.550018
1229192300,0.271163,94.33082,238.365348,10.5364316
1229192200,9.999332,23.06919,922.788573,25.2723028
1229192100,1.478463,12.77941,318.632068,10.2991484
1229192000,443.570836,137.24536,319.856729,39.1869989
1229191900,149.982922,208.27914,100.404169,12.2518144
1229191800,1.626355,358.97965,135.503748,30.1682721
1229191700,67.756493,250,124.622319,32.8555616
1229191600,32.963101,128.12094,267.127023,13.7838358
1229191500,47.720616,14.57138,310.009303,16.0584779
1229191400,15.280909,109.35257,254.510612,8.29931646
1229191300,189.187826,1.36907,246.066281,6.54467246
1229191200,1.109639,37.06186,569.344693,2.68315576
1229191100,0,0,664.002644,2.06671695
1229191000,50,7.32382,73.190145,13.8698209
122919900,416.752902,50.62825,286.979379,7.35503475
122919800,537.069279,117.31845,580.072552,2.09845408
122919700,0.070397,44.68844,261.251682,5.12727807
122919600,108.152875,22.40288,389.257406,18.6608427
122919500,0.568562,6.0846967,144.251987,5.72229861
122919400,3.141944,20.56361,267.658207,6.88335022
122919300,101.097072,102.458266,0.269845,4.00604691
122919200,0.283312,65.30677,175.821094,13.1190895
122919100,86.513482,19.90461,137.636583,11.0927909
122919000,4.712422,32.4557,933.724219,5.84922339
1228192300,0.423526,103.65807,361.855271,5.88145837
1228192200,51.032464,207.03914,215.755704,3.7372382
1228192100,28.25312,34.63484,105.105446,11.69263
1228192000,0.070028,37.38781,246.286306,18.7262591
1228191900,57.8843688,186.52073,261.108985,46.2733454
1228191800,151.626155,343.61953,691.481126,15.2206871
1228191700,90.0351491,245.06724,171.539204,24.3214746
1228191600,97.185717,88.58124,192.651396,11.3121433
1228191500,0.388434,90.30302,428.379561,20.6407133
1228191400,15.5122194,63.65877,13.4608859,62.1185298
1228191300,1.981354,101.47411,115.55695,6.41317951
1228191200,11.612665,2.14221,55.701859,2.42425951
1228191100,0.070052,0.04742,8.87997,0.50109051
1228191000,0.140251,0.09438,51.6604299,9.3980876
122819900,69.929204,2.29338,12.558517,4.62748268
122819800,0.158244,32.64739,35.287598,38.3246723
122819700,7.600825,176.26124,24.846964,19.6687597
122819600,290.04937,400.52987,71.295513,11.3042456
122819500,101.519273,245.6672,23.5788055,24.9293541
122819400,2.214949,96.97,39.6946219,1.28609076
122819300,1.002581,143.69216,120.07108,3.9212404
122819200,232.279667,199.090625,159.426877,20.9065325
122819100,2.64329,77.1131939,136.157311,17.0779047
122819000,20.740332,124.39346,142.076088,55.9476052
1227192300,7.657006,11.28671,141.777104,282.070671
1227192200,390.662401,246.44111,301.800659,30.6846112
1227192100,144.628104,1011.1916,81.4841365,36.5347573
1227192000,23.1443,265.42699,77.8309152,29.9913343
1227191900,0.799024,67.35534,819.342274,26.0752794
1227191800,360.904008,68.0774083,305.482668,46.2773058
1227191700,1.322696,123.266146,300.656584,24.9465411
1227191600,23.407156,333.335496,274.637562,74.4598394
1227191500,21.778822,38.39963,714.719824,72.6034336
1227191400,2.032398,3.39241,107.872643,27.9642568
1227191300,0.397472,35.81899,24.313707,11.035784
1227191200,0.146493,1.66,23.4218461,12.2829751
1227191100,1.036343,12.82519,1152.06469,62.7917513
1227191000,35.975092,0.1482,39.197458,1.8825443
122719900,0.363979,2.10227,113.237028,21.2957441
122719800,0.289932,28.96807,104.920116,23.1211457
122719700,3.629507,137.2296,155.481593,18.4661619
122719600,6.746852,88.09528,36.005969,6.25391468
122719500,10.935169,32.80018,59.743062,10.346028
122719400,1.445924,91.39586,66.7112324,5.54687713
122719300,41.046035,133.21079,755.803156,181.243701
122719200,17.531727,1.2075,127.773703,39.2499217
122719100,96.682533,33.92082,28.2378564,9.0492704
122719000,5.47944,30.43173,63.037599,308.137383
1226192300,132.355298,353.31784,91.597883,10.9623498
1226192200,5.198282,28.26439,332.547568,16.1866016
1226192100,23.395414,230.87416,234.922166,34.9603065
1226192000,11.875061,93.49256,214.726557,33.0750809
1226191900,203.676346,1823.01157,2180.79258,160.145037
1226191800,22.501691,116.8437,138.182725,175.588116
1226191700,30.090972,113.35175,402.454344,86.6850824
1226191600,90.969443,253.70175,771.456931,39.8859418
1226191500,0.394186,76.70213,626.031479,60.7876609
1226191400,20.37257,328.83312,57.5512236,17.4550111
1226191300,30.272072,25.56926,208.289038,17.9015023
1226191200,0.071839,5.64658,5.806026,1.21296794
1226191100,3.556678,4.65768,15.761098,1.92719394
1226191000,35.025444,0.04988,1.817838,1.95239761
122619900,13.523588,26.66523,65.008069,0.81894118
122619800,2.072806,25.03962,6.550348,1.1454175
122619700,10.057565,2.33518,4.138821,3.55307247
